繪圖紅樓夢卷一 ||| Họa đồ Hồng Lâu Mộng, quyển thứ nhất.
_____兄弟你是個尊貴人和女孩___兒是的人品別學他們猴在馬上下來绺們姐兒兩個同坐車好不好寶玉聽說便下了馬爬上鳳姐車内二 ||| Này huynh đệ, ngươi là bậc tôn quý, còn các cô nương kia, phẩm hạnh không đáng để học theo. Thôi xuống ngựa đi, cùng tỷ muội lên xe ngồi cho vui.
人說笑前進不一時只見_那邊兩騎馬_____直奔鳳姐車______來下馬拱車回_道這_裏有下處奶奶請歇歇更衣鳳姐_命請邢__王二夫人_示下那二人___________________________ ||| Người ta nói cười đi tới, không bao lâu thì thấy hai kỵ mã từ đằng xa phi thẳng tới xe của Phượng Thư, xuống ngựa chắp tay thưa rằng: "Nơi đây có chỗ nghỉ, xin mời nãi nãi xuống xe nghỉ ngơi thay y phục." Phượng Thư bèn sai mời hai vị phu nhân họ Hình và họ Vương đến để xin chỉ thị.
回說太太們說不歇了叫奶奶自便鳳姐便命歇歇再走小廝帶着轎馬岔出人羣往北而來寳玉忙命人去請秦鐘那時秦鐘正騎着馬 ||| Lúc ấy, các bà lớn đều nói đã mệt mỏi, bảo bà vú cứ tự tiện. Phượng Thư liền sai người nghỉ ngơi rồi đi tiếp. Tiểu đồng dẫn kiệu và ngựa rẽ đám đông đi về hướng bắc. Bảo Ngọc vội sai người đi mời Tần Chung, khi ấy Tần Chung đang cưỡi ngựa.
_______隨_他父親的轎忽見寶王的小廝跑來請他去打尖秦鐘遠看者寶玉所騎的馬搭着鞍箭隨着鳳姐的車往北而去便知寶玉同鳳姐一 ||| Theo sau kiệu của cha, chợt thấy tiểu đồng của Bảo Ngọc chạy đến mời đi ăn nhẹ. Tần Chung từ xa trông thấy ngựa của Bảo Ngọc có yên cương, lại thấy xe của Phượng Thư đi về hướng bắc, liền biết Bảo Ngọc cùng Phượng Thư đi cùng nhau.
_車自己也帶馬趕上來同入一莊門内那莊農人家無多房舍___婦女無處_迴避______那些村姑野婦見了鳳姐寶玉秦鐘的人品衣服幾疑天人 ||| Xe ngựa cũng vừa kịp đến, cùng nhau tiến vào cổng trang viên. Nơi đây nhà cửa thưa thớt, phụ nữ không tiện lánh mặt. Các thôn cô thấy dung mạo và y phục của Phượng Thư, Bảo Ngọc, Tần Chung, đều ngỡ là tiên nhân hạ phàm.
繪圖红樓夢卷一第十五回 ||| Bức họa Hồng Lâu Mộng, quyển thứ nhất, hồi thứ mười lăm.
六九 ||| Ta định đưa ngay, nhưng rồi lại quên bẵng đi mất.
繪圖紅樓夢卷一第十五回 ||| Bức họa Hồng Lâu Mộng, quyển thứ nhất, hồi thứ mười lăm.
爲奇不知何名何用小厮中有知道的一一告訴了名色並其用處寶玉聽了因點頭道怪道古人詩上說誰知盤中餐粒粒皆辛苦正爲 ||| Thấy lạ, Bảo Ngọc hỏi tên và công dụng của các đồ vật, bọn tiểu đồng biết liền kể rõ từng thứ một. Nghe xong, Bảo Ngọc gật gù nói: "Thảo nào người xưa có câu: Ai hay cơm trong bát, hạt hạt đều mồ hôi, quả không sai!"
二丁頭快媧來那了頭__丢了紡車一徑去了寶王悵然無趣只見厦姐_打發人來叫他兩個進去鳳如洗了手換了衣服問他換不換寶玉 ||| Hai tên tiểu đinh kia vội vàng chạy đến, vứt bỏ xe quay về, Bảo Ngọc ngơ ngác không hiểu, chỉ thấy Nhạ tỷ sai người đến gọi hai người vào, Phượng Thư đã rửa tay thay áo, hỏi Bảo Ngọc có muốn thay không.
__道不換__也就罷了___僕婦們__________端上______茶食_菜品來又倒上香茶來鳳姐等吃_了茶待他們收拾宗_備便起身上車外面旺兒预備賞封賞了那莊 ||| Chưa nói hết câu, người nhà đã dâng trà và thức ăn lên. Phượng Thư cùng mọi người dùng trà, rồi chuẩn bị lên xe về phủ, ngoài cổng, quản gia Vương Nhi đã chuẩn bị sẵn sàng xe ngựa.
戶人家那婦人等忙來謝當寶玉留心看時並不見紡線之女走不多遠卻見道二了頭懷裏抱了個小孩子同着兩個小女孩子在村頭 ||| Khi đi ngang qua nhà, ven theo cửa sổ nhà Lý Hoàn, rẽ sang tường hoa phía tây, ra đến cửa nách thì thấy một nhà nọ, người đàn bà vội ra đón. Bảo Ngọc nhìn kỹ thì không thấy cô gái đang xe chỉ đâu, đi thêm một đoạn thì thấy hai người đàn bà, một người bế đứa bé, cùng hai đứa bé gái ở đầu làng.
_________友也有__坐住的也有____告辭的一_一謝_了乏從公侯伯子男一起一起的散_至未末__方_散盡了裏面的堂客皆是鳳姐接待先從誥命散进也 ||| Lúc ấy, mọi người đã tàn tiệc, người thì ngồi lại, người thì cáo từ ra về. Đến khi trời nhá nhem tối, khách khứa từ các bậc công hầu bá tử nam mới lục tục ra về hết. Các bà các cô trong phủ đều do Phượng Thư tiếp đãi, tiễn đưa, bắt đầu từ các mệnh phụ cáo mệnh.
以備京中老了入口在此停靈其中陰陽网宅俱_是預備爱貼的好爲送靈人口寄居不想如今後人繁盛其中貧富不一或性情来商有 ||| Để chuẩn bị cho việc người nhà qua đời, trong phủ đã sẵn sàng nơi để linh cữu quàn, cả âm trạch lẫn dương trạch đều đã được sắp đặt chu đáo. Nơi đây cũng là chỗ để người đưa tang có thể tạm trú. Ai ngờ hậu thế ngày càng đông đúc, giàu nghèo khác biệt, tính tình cũng chẳng ai giống ai.
______________________那家_道艱難__的便住在浦_裏了有那___有錢有勢尙排場的只說道_裏不方便一定另外或村莊或尼庵尋個下處爲事畢宴退之所即今秦 ||| Gia cảnh nhà ấy vốn khó khăn, đành phải ở tạm trong thôn. Những nhà giàu có, quyền thế thì lại cho rằng ở trong thôn không tiện, nhất định phải tìm một nơi khác, hoặc là thôn trang, hoặc là am ni để nghỉ ngơi sau khi xong việc.
___氏之喪族中諸人__也有在_鉄檻寺___的也有別尋下處的国娴也嫌不方便医__遣人來和馒頭庵的姑子_靜虛說了騰出_幾間房_來___預備原來 ||| Khi ấy, gia quyến họ ___ cũng có người ở lại ___ Tự, kẻ thì tìm nơi khác mà ở, quốc cữu cũng thấy bất tiện, bèn sai người đến nói với ni cô Tĩnh Hư ở Mạn Đầu Am, xin nhường lại mấy gian phòng để chuẩn bị.
__這饅頭庵__和水月_寺一勢因他庵廟_裏做的饅頭好就起了這個渾號_離鐵檻寺不遠當下和尙工課已完奠過晚茶賈珍便命賈蓉請鳳 ||| Nơi này gọi là Mạn Đầu Am, cùng với Thủy Nguyệt Tự nổi danh bởi bánh bao chay làm rất ngon, nên mới có tên như vậy. Am này cách Thiết Hám Tự không xa. Lúc này, các tăng nhân đã xong công quả, dùng xong trà chiều, Giả Trân liền sai Giả Dung mời Phượng Thư.
姐歇息鳳姐見還有_幾個妯娌們陪着女親自己便辭了衆人帶_着寶来秦鐘往__饅頭庵來只有秦邦業年邁多病不能在此只命泰鐘等 ||| Phượng Thư nghỉ ngơi chốc lát, thấy các chị em dâu vẫn còn ở đó bèn cáo từ, dẫn Bảo Ngọc và Tần Chung đến am Màn Thầu. Chỉ có Tần Bang Nghiệp tuổi cao sức yếu không thể đi cùng, bèn sai Tần Chung đi theo.
_待安媒罷所以秦鐘_只跟着鳳姐寶玉一時到了__庵_中静虛帶領智善智能兩個徒弟出來迎接大家見過鳳姐等至淨室更衣淨手畢因 ||| Chờ cho xong việc mối lái, Tần Chung mới theo Phượng Thư và Bảo Ngọc đến am ni cô. Tĩnh Hư dẫn hai đồ đệ là Trí Thiện và Trí Năng ra đón. Mọi người chào hỏi xong, vào tịnh thất thay y phục, rửa tay rồi mới vào.
_____________見智能_完越發長高了模樣_兒越發出息的水靈了因說道你們師徒怎_麽這些日子也不往我們那_裏去靜虛道可是這幾日因胡老爺 ||| Lại thấy, con rể Chu Thụy là Lãnh Tử Hưng, vốn bạn thân với Giả Vũ Thôn, vì việc mua bán đồ cổ mà bị kiện tụng, nên sai vợ đi lo lót. Bà Chu cậy thế nhà chủ, không để bụng đến việc này, cho rằng chỉ cần nhờ Phượng Thư là xong.
________________府_裏產了公子太太送了十兩銀子來這_裏叫請_幾位師父念三日血盆經忙的____就没得來請奶奶的安不言老尼陪着鳳姐且說那秦鐘 ||| Trong phủ vừa sinh công tử, các bà lớn đã sai người mang mười lạng bạc đến, lại còn mời mấy vị sư đến tụng ba ngày kinh huyết bồn, bận rộn đến nỗi không kịp đến thỉnh an bà. Lão ni kia vẫn luôn ở bên cạnh Phượng Thư, hãy nói về chuyện Tần Chung.
____寶王二人正在殿上頑耍因見智能兒過來寶玉笑道能_兒來了秦鐘_說理___他作什_城寶玉笑道你別弄鬼兒那一日在老太大屋裏一個 ||| Khi ấy Bảo Ngọc và Tần Chung đang nô đùa trong điện, thấy cô bé Tiểu Thư đến, Bảo Ngọc cười nói: “Tiểu Thư đến rồi kìa, Tần Chung mau đến mà nói lý lẽ với cô bé đi”. Tần Chung hỏi: “Cô bé làm gì vậy?”. Bảo Ngọc cười đáp: “Đừng có mà giở trò quỷ, hôm trước ở nhà bà lớn, cô bé đã...
人沒有你樓着他作什麽呢信會子還哄我秦鐘笑道道可是沒有的話寶玉_道有沒有也不管你你只叫_他倒碗茶來我_喝就__招過手秦_________________ ||| Người đâu mà buồn rầu thế, ngồi đây làm gì, ra ngoài chơi đi. Tần thị cười nói: Lần trước Bảo Ngọc muốn gặp em tôi, hôm nay may sao nó đang ở thư phòng, sao chú không sang đó chơi?
鐘笑道這又奇了你叫他倒去還怕他不倒何__用我說呢寶玉道我叫他倒的是無情意的不及你叫他倒的是有情意的秦鐘没法只得_____________________________________________ ||| Chung cười nói, "Thật lạ lùng! Ngươi bảo nó đổ thì nó sẽ đổ, cần gì ta phải nói?" Bảo Ngọc đáp, "Ta bảo nó đổ là vô tình, không bằng ngươi bảo nó đổ là hữu tình." Tần Chung hết cách, đành phải nghe theo.
說道能兒倒碗茶來那能兒自幼在榮府走動無人不識常和寶玉秦鐘酒笑如今長大了漸知風月便看上了秦鐘人物風流那秦鐘也 ||| Nguyên do Tần thị có lần nhắc Bảo Ngọc muốn gặp em trai mình, hôm nay vừa hay cậu ta đang ở thư phòng, sao chú không qua đó mà chơi?
趁機說道我有一事要到府裏求太大先請奶奶的示下鳳姐問道什麽事老尼道阿彌陀佛只因當日我先在長安縣善才庵裏出家的 ||| Nhân cơ hội, lão ni nói rằng: "Tôi có một việc muốn đến phủ xin bà lớn chỉ bảo, trước xin nương nương cho phép". Phượng Thư hỏi có việc gì, lão ni đáp: "A di đà Phật, chỉ vì ngày trước tôi xuất gia ở am Thiện Tài tại huyện Trường An."
______眼看___見金哥就愛上了立刻打發人來求親不想金哥巳受了原任長安守備_公子的聘定張家欲待退親又怕守備不依因此說已有了 ||| Vừa thấy Kim ca, nàng đã đem lòng yêu mến, liền sai người đến cầu thân. Nào ngờ Kim ca đã được vị trưởng quan ở Trường An hứa gả. Nhà Trương muốn từ hôn nhưng lại sợ vị trưởng quan kia không bằng lòng, nên đành nói dối là đã có hôn ước.
______________________事倒不大只是大太再不管道__些事老尼道太太不管奶奶_可以主張了鳳姐__笑道我也不等銀子使也不做這樣的事_靜虛_聽丁打去妄________________________________________________________________________________________________________ ||| Việc này cũng chẳng có gì to tát, chỉ là bà lớn quá nuông chiều người nhà, không biết phép tắc gì cả!
_______________________________________________________________________________想半晌歟道雖__道麽說只是張家已經知__道求了府_裏如今不管__張家不__說沒工夫___不希_圖他的謝禮倒像府_裏連道點子手段也沒有_______________________________________是_________ ||| Ngẫm nghĩ hồi lâu, Phượng Thư nói: "Dù sao thì nhà họ Trương cũng đã biết chuyện rồi, họ cũng đã cầu xin phủ ta, giờ phủ ta không thể làm ngơ. Nếu không giúp nhà họ Trương thì cũng không nên nói là không có thời gian, cũng không nên mong chờ lễ tạ của họ, mà lại khiến người ta nghĩ phủ ta không có chút thủ đoạn nào."
的鳳姐聽了這話便發了興頭說道你是素日知道我的從來不信什麽陰司地獄報應的憑是什麽事我說要行就行你叫他拿三千兩 ||| Phượng Thư nghe vậy liền nổi hứng, cười đáp: "Ta vốn xưa nay chẳng tin vào chuyện âm ty địa ngục báo ứng gì cả, hễ việc gì ta đã muốn làm thì nhất định sẽ làm cho bằng được. Ngươi cứ bảo hắn mang ba ngàn lượng đến đây."
______銀子來我就替他出_道口_氣老尼_聽說喜之不__勝忙說有有這個不難鳳姐又道我比不得他們扯逄拉_縴的圖銀子道三千兩銀子不過 ||| Nếu có bạc, ta sẽ đứng ra lo liệu cho lão già đó. Lão ni kia nghe vậy mừng rỡ khôn xiết, vội nói có có, việc này không khó. Phượng Thư lại nói, ta không như bọn họ, cứ phải cò kè bớt một thêm hai, ta chỉ cần ba ngàn lượng bạc là đủ.
_______是給打發說去的小店們作盤纏使他賺_幾個辛苦錢兒我一個錢也不要_就是三萬兩我此刻還全的出來老尼忙答應道旣如此奶奶 ||| Ấy là để cho bọn người làm ở các cửa hàng nhỏ có chút vốn liếng làm ăn, kiếm chút tiền công vất vả, chứ ta đây một xu cũng không cần, dù là ba vạn lượng ta cũng có thể đưa ra ngay được.
明日就開恩罷了鳳姐道你瞧瞧我忙的那一處少的了我我旣應了你自然給你了結啊老尼道這點子事要在别人自然忙的不知怎 ||| Phượng Thư nói: "Việc này cứ để ngày mai rồi tính, ta sẽ cùng bàn với vợ chồng anh Dung và chị Liễn, sau đó sẽ thưa lại với bà, chắc chắn sẽ thành công thôi."
